episode,game,exploration,explored,safe,MA_explored,MA_safe
835,[35]_forecast_horizon=[22],1.0,66.6,66.6,52.6,53.7
836,[36]_forecast_horizon=[14],1.0,54.2,56.3,53.2,53.9
837,[37]_forecast_horizon=[19],1.0,63.9,68.0,53.2,53.9
838,[38]_forecast_horizon=[27],1.0,69.7,69.7,53.2,53.9
839,[39]_forecast_horizon=[24],1.0,81.4,81.4,53.2,53.9
840,[40]_forecast_horizon=[15],1.0,52.2,59.3,53.2,53.9
841,[41]_forecast_horizon=[19],1.0,64.4,68.0,53.8,54.0
842,[42]_forecast_horizon=[11],1.0,67.9,67.9,53.8,54.0
843,[43]_forecast_horizon=[15],1.0,40.1,54.3,53.2,54.0
844,[44]_forecast_horizon=[19],1.0,75.2,75.2,53.2,54.0
845,[45]_forecast_horizon=[27],1.0,27.0,38.6,53.2,54.0
846,[46]_forecast_horizon=[17],1.0,40.7,50.2,53.2,54.0
847,[47]_forecast_horizon=[28],1.0,0.0,0.0,53.2,54.0
848,[48]_forecast_horizon=[14],1.0,79.6,77.3,53.2,54.0
849,[49]_forecast_horizon=[17],1.0,43.8,55.6,52.6,54.0
850,[50]_forecast_horizon=[16],1.0,53.3,72.2,52.6,54.2
851,[51]_forecast_horizon=[28],1.0,50.8,50.8,52.3,54.0
852,[52]_forecast_horizon=[20],1.0,42.7,49.7,52.3,54.0
853,[53]_forecast_horizon=[26],1.0,93.2,93.2,52.3,54.0
854,[54]_forecast_horizon=[22],1.0,77.8,79.8,52.3,54.0
855,[55]_forecast_horizon=[20],1.0,62.2,55.2,52.3,54.0
856,[56]_forecast_horizon=[15],1.0,82.0,88.9,52.3,54.0
857,[57]_forecast_horizon=[22],1.0,2.2,15.7,52.3,54.0
858,[58]_forecast_horizon=[28],1.0,-2.7,37.7,52.3,54.0
859,[59]_forecast_horizon=[21],1.0,31.8,36.6,52.3,54.0
860,[60]_forecast_horizon=[10],1.0,-48.7,12.4,52.3,54.0
861,[61]_forecast_horizon=[11],1.0,53.0,53.0,52.3,53.9
862,[62]_forecast_horizon=[18],1.0,0.0,0.0,52.3,53.9
863,[63]_forecast_horizon=[24],1.0,42.7,42.7,52.2,53.9
864,[64]_forecast_horizon=[26],1.0,-52.0,-26.0,52.2,53.9
865,[65]_forecast_horizon=[13],1.0,38.3,56.4,52.2,54.0
866,[66]_forecast_horizon=[27],1.0,64.2,64.2,52.2,54.0
867,[67]_forecast_horizon=[12],1.0,58.6,37.5,52.3,54.0
868,[68]_forecast_horizon=[13],1.0,52.3,46.5,52.3,54.0
869,[69]_forecast_horizon=[12],1.0,59.7,65.5,52.3,54.2
870,[70]_forecast_horizon=[29],1.0,11.6,11.6,52.3,54.2
871,[71]_forecast_horizon=[17],1.0,61.7,61.7,52.3,54.2
872,[72]_forecast_horizon=[27],1.0,50.6,60.3,52.2,54.2
873,[73]_forecast_horizon=[12],1.0,79.5,75.7,52.2,54.2
874,[74]_forecast_horizon=[23],1.0,19.6,-15.7,52.2,54.2
875,[75]_forecast_horizon=[26],1.0,68.1,68.1,52.2,54.2
876,[76]_forecast_horizon=[29],1.0,-30.2,-15.1,52.2,54.2
877,[77]_forecast_horizon=[18],1.0,42.6,42.6,52.2,54.2
878,[78]_forecast_horizon=[21],1.0,44.9,47.1,52.2,54.2
879,[79]_forecast_horizon=[10],1.0,34.9,34.9,51.5,54.2
880,[80]_forecast_horizon=[11],1.0,71.1,82.5,52.2,54.2
881,[81]_forecast_horizon=[14],1.0,44.9,54.5,51.5,54.2
882,[82]_forecast_horizon=[26],1.0,48.0,31.7,51.5,54.2
883,[83]_forecast_horizon=[18],1.0,22.8,22.8,51.5,54.2
884,[84]_forecast_horizon=[29],1.0,48.6,48.6,50.7,54.2
885,[85]_forecast_horizon=[11],1.0,53.5,65.9,50.7,54.2
886,[86]_forecast_horizon=[25],1.0,16.0,43.0,50.7,54.2
887,[87]_forecast_horizon=[23],1.0,76.9,82.7,51.5,54.4
888,[88]_forecast_horizon=[19],1.0,43.3,43.3,51.5,54.4
889,[89]_forecast_horizon=[25],1.0,57.7,43.8,51.5,54.2
890,[90]_forecast_horizon=[25],1.0,41.1,56.4,50.7,54.4
891,[91]_forecast_horizon=[14],1.0,36.1,46.0,50.7,54.4
892,[92]_forecast_horizon=[20],1.0,43.8,63.2,50.3,54.4
893,[93]_forecast_horizon=[15],1.0,81.1,77.8,50.3,54.4
894,[94]_forecast_horizon=[13],1.0,41.0,48.2,50.3,54.2
